Harga,LuasTanah,LuasBangunan,JumlahKamarTidur,JumlahKamarMandi,Garasi,Kota
6000000000.0,200,272,4,4,ADA,JAKSEL
6900000000.0,137,315,3,2,ADA,JAKSEL
16000000000.0,521,470,7,6,ADA,JAKSEL
19000000000.0,400,788,4,3,ADA,JAKSEL
25000000000.0,865,450,4,4,ADA,JAKSEL
15500000000.0,1100,600,4,4,ADA,JAKSEL
12600000000.0,540,800,5,4,TIDAK ADA,JAKSEL
7900000000.0,228,465,4,4,ADA,JAKSEL
20000000000.0,462,645,5,5,ADA,JAKSEL
5000000000.0,143,200,3,3,ADA,JAKSEL
18000000000.0,1900,650,6,6,ADA,JAKSEL
1100000000.0,90,180,3,3,ADA,JAKSEL
6500000000.0,427,300,4,4,ADA,JAKSEL
17000000000.0,407,850,6,5,ADA,JAKSEL
6500000000.0,217,195,4,3,ADA,JAKSEL
8500000000.0,307,400,4,5,ADA,JAKSEL
13500000000.0,429,600,5,4,ADA,JAKSEL
850000000.0,76,60,2,2,TIDAK ADA,JAKSEL
14000000000.0,460,500,5,4,ADA,JAKSEL
11200000000.0,371,250,6,3,ADA,JAKSEL
7700000000.0,200,373,4,3,ADA,JAKSEL
10000000000.0,388,343,4,4,ADA,JAKSEL
13500000000.0,282,380,4,4,ADA,JAKSEL
13000000000.0,410,800,4,4,TIDAK ADA,JAKSEL
27000000000.0,660,800,5,4,ADA,JAKSEL
19000000000.0,435,650,4,4,ADA,JAKSEL
7000000000.0,384,400,4,4,ADA,JAKSEL
27500000000.0,1068,300,5,3,ADA,JAKSEL
17000000000.0,465,640,3,4,TIDAK ADA,JAKSEL
10000000000.0,475,600,5,5,TIDAK ADA,JAKSEL
6800000000.0,210,275,3,2,ADA,JAKSEL
21000000000.0,754,500,4,4,ADA,JAKSEL
25000000000.0,1340,600,8,5,ADA,JAKSEL
16000000000.0,521,471,5,5,ADA,JAKSEL
6000000000.0,329,500,5,3,TIDAK ADA,JAKSEL
21000000000.0,1018,600,4,4,TIDAK ADA,JAKSEL
33000000000.0,1100,450,4,4,ADA,JAKSEL
2790000000.0,180,250,3,3,ADA,JAKSEL
8500000000.0,307,400,7,6,TIDAK ADA,JAKSEL
1930000000.0,111,135,3,3,TIDAK ADA,JAKSEL
14000000000.0,410,800,4,4,ADA,JAKSEL
12750000000.0,500,400,4,3,TIDAK ADA,JAKSEL
5000000000.0,188,260,4,3,ADA,JAKSEL
25000000000.0,1040,600,4,3,TIDAK ADA,JAKSEL
25000000000.0,1000,600,9,5,ADA,JAKSEL
85500000000.0,1500,1300,5,5,ADA,JAKSEL
5400000000.0,165,297,3,3,ADA,JAKSEL
